Belgium;Bulgaria;Denmark;Estonia;Finland;France;Greece;Ireland;Iceland;Italy;Croatia;Latvia;Lithuania;Luxembourg;Malta;Netherlands;Norway;Austria;Poland;Portugal;Romania;Russian Federation;Sweden;Switzerland;Slovakia;Slovenia;Spain;Czechia;Turkey;Ukraine;Hungary;United Kingdom;Cyprus;Rest of Europe
2012;1081792;x;1990672;x;x;5525894;1371712;x;x;10734702;2038609;x;x;x;x;4063774;1137609;11973932;2321860;838106;x;692928;1062401;3566792;x;x;9956971;2447165;4617678;x;1157818;2188117;x;x
2013;1286893;532448;1656946;x;x;5222570;1907569;816946;x;10471824;1962039;x;x;x;x;5294242;926316;11812136;2339863;1118701;x;898582;828481;3131318;x;x;9972999;1708549;4991780;x;1199237;4088788;x;710113
2014;1339362;x;2342399;x;x;5472093;2363798;608565;x;9485428;2418956;x;x;x;x;4853948;746759;10574871;2635042;971204;x;1134880;1035253;3537623;x;x;9143204;1632543;4893317;x;529065;2640606;x;1080462
2015;1169903;x;1881482;x;x;4837612;1563361;613248;x;10645721;1924939;x;x;x;x;4839178;1057681;10544493;3301108;1259049;x;713235;1091958;3253824;x;x;10242453;2199242;4316205;x;1098884;3252563;x;859711
2016;1009253;1028722;1909579;x;x;5158745;2503954;684025;x;11548473;1503485;x;x;x;x;6763021;1097563;11379674;3436248;1268495;742245;830546;1502536;3323933;x;x;10392755;1854060;3344637;x;1158709;3178819;x;1034788
2017;1035849;x;1733186;x;x;6231466;2836539;823927;x;10972666;2243309;x;x;x;x;5672860;867848;11274997;2836354;2062673;x;609292;1389031;2513975;x;x;11092772;2477260;2613340;x;728394;3380327;x;745936
2018;1467885;718052;1938469;x;x;6143331;3297186;1119241;x;13572692;2086331;x;x;x;x;7413347;1177749;14395603;3601076;2692502;x;836996;2209939;3666216;x;x;11671678;2630516;3815798;x;889534;4343738;x;964873
2019;1523551;623274;2713653;x;x;6467657;3210225;748310;x;11633147;1942240;x;x;x;x;7090968;1167860;11718287;3126133;2040890;849566;598267;1544066;3347817;x;x;10984639;2728299;3205210;x;1385049;2981999;x;715584
2020;500305;x;1060487;x;x;2653406;935316;x;x;4151171;978863;x;x;x;x;4081705;x;7494027;1811200;449262;x;x;x;2168496;x;x;2716432;831259;x;-;x;x;x;x
2021;644750;x;1328161;-;x;3383096;2042277;x;x;7551822;2704248;x;x;x;x;3459498;x;7252067;2402159;825855;x;x;520825;1577465;x;x;5414450;868133;1663875;x;x;x;x;x
