Airplane;Ship;Train;Bus;Motor vehicle;Other means of transport
2012;40754905;3366728;34819832;11878291;149725223;6979006
2013;41735644;3141468;34662822;14340007;149111016;5591062
2014;39370171;2947322;34110002;11952531;144536865;3993056
2015;39885520;2787698;32311342;15863473;152227500;4800413
2016;43856798;2976491;38957292;16591207;147231057;6035232
2017;45972060;3507190;35025166;14383199;139804287;4885207
2018;49138652;3987513;37168879;13239594;156575466;7769007
2019;43326257;4150904;41222411;12361317;153776487;5680510
2020;11565999;913470;21921470;2396251;106579346;2785876
2021;15356393;1472621;30627940;4675576;122135673;3890087

